Comments:  commonly  misspelled  words,  taken  from https://raw.githubusercontent.com/AdmitHub/normalize-english/master/data/spellfix.js
COLUMN 1:  the correct spelling; COLUMN 2: misspelled word
achievements                  acheivments                   
achievement                   achievment                    
achievements                  achievments                   
acknowledgment                acknowledgement               
accommodate                   acomadate                     
accommodated                  acomadated                    
accommodates                  acomadates                    
accommodation                 acomadatin                    
accommodating                 acomadating                   
accommodations                acomadatins                   
accommodation                 acomadation                   
accommodations                acomadations                  
accommodation                 acomadtion                    
accommodations                acomadtions                   
accommodate                   acomidate                     
accommodated                  acomidated                    
accommodates                  acomidates                    
accommodating                 acomidating                   
accommodation                 acomidation                   
accommodations                acomidations                  
accommodate                   acommadate                    
accommodated                  acommadated                   
accommodates                  acommadates                   
accommodation                 acommadatin                   
accommodating                 acommadating                  
accommodations                acommadatins                  
accommodation                 acommadation                  
accommodations                acommadations                 
accommodation                 acommadtion                   
accommodations                acommadtions                  
accommodate                   acommidate                    
accommodated                  acommidated                   
accommodates                  acommidates                   
accommodating                 acommidating                  
accommodation                 acommidation                  
accommodations                acommidations                 
accommodate                   acommodate                    
accommodated                  acommodated                   
accommodates                  acommodates                   
accommodation                 acommodatin                   
accommodating                 acommodating                  
accommodations                acommodatins                  
accommodation                 acommodation                  
accommodations                acommodations                 
accommodation                 acommodtion                   
accommodations                acommodtions                  
accommodate                   acomodate                     
accommodated                  acomodated                    
accommodates                  acomodates                    
accommodation                 acomodatin                    
accommodating                 acomodating                   
accommodations                acomodatins                   
accommodation                 acomodation                   
accommodations                acomodations                  
accommodation                 acomodtion                    
accommodations                acomodtions                   
accomplish                    acomplish                     
accomplished                  acomplished                   
accomplishment                acomplishment                 
accomplishments               acomplishments                
acoustic                      acoostic                      
according                     acording                      
accordingly                   acordingly                    
acquaintance                  acquaintence                  
acquaintances                 acquaintences                 
aqueous                       acqueus                       
acquaintance                  acquiantence                  
acquaintances                 acquiantences                 
acquiesce                     acquiess                      
across                        acros                         
across                        acrost                        
activities                    activites                     
activities                    activitties                   
accuracy                      acuracy                       
accustom                      acustom                       
accustomed                    acustommed                    
adamant                       adament                       
adaptations                   adaptions                     
adequate                      adaquit                       
additional                    additinal                     
admission                     addmission                    
adopt                         addopt                        
adopted                       addopted                      
adoptive                      addoptive                     
address                       addres                        
addressable                   addresable                    
addressing                    addresing                     
addition                      addtion                       
additional                    addtional                     
adequate                      adecuate                      
adequate                      adequit                       
adequate                      adequite                      
adhering                      adhearing                     
adhesive                      adheasive                     
addition                      adition                       
additional                    aditional                     
adjacency                     adjacancy                     
adjacent                      adjacant                      
agitate                       adjatate                      
adjective                     adjative                      
amendment                     admendment                    
administration                administartion                
administrate                  adminstrate                   
administration                adminstration                 
administrative                adminstrative                 
administrator                 adminstrator                  
admissibility                 admissability                 
admissible                    admissable                    
acquire                       adquire                       
acquired                      adquired                      
acquires                      adquires                      
acquiring                     adquiring                     
address                       adres                         
addressable                   adresable                     
addressing                    adresing                      
address                       adress                        
addressable                   adressable                    
advantage                     advanage                      
advantageous                  advanatagous                  
advantageous                  advantagous                   
adventurous                   adventourous                  
advised                       adviced                       
aerial                        aeriel                        
aerials                       aeriels                       
affect                        afect                         
affected                      afected                       
affecting                     afecting                      
affiliate                     affilate                      
afflict                       affilict                      
afflicted                     affilicted                    
affiliate                     affilliate                    
affiliated                    affilliated                   
affiliates                    affilliates                   
afraid                        affraid                       
affiliate                     afiliate                      
affiliated                    afiliated                     
affiliates                    afiliates                     
affiliate                     afilliate                     
affiliated                    afilliated                    
affiliates                    afilliates                    
afterwards                    afterwords                    
against                       agains                        
against                       aggenst                       
agreement                     aggreement                    
egregious                     aggregious                    
aggressive                    aggresive                     
aggressively                  aggresively                   
aggravate                     aggrivate                     
again                         agian                         
against                       agin                          
aggravate                     agravate                      
agree                         agre                          
agreed                        agred                         
agreement                     agreemnet                     
agreements                    agreemnets                    
aggregate                     agregate                      
aggregates                    agregates                     
agreeing                      agreing                       
agreement                     agremeent                     
agreements                    agremeents                    
aggression                    agression                     
aggressive                    agressive                     
aggressively                  agressively                   
aggrieved                     agrieved                      
adjacent                      ajacant                       
adjacent                      ajacent                       
adjective                     ajative                       
adjoin                        ajoin                         
adjoined                      ajoined                       
adjoining                     ajoining                      
adjustment                    ajustment                     
albeit                        albiet                        
allege                        aledge                        
alleged                       aledged                       
alleges                       aledges                       
allegiance                    alegance                      
allege                        alege                         
alleged                       aleged                        
allegiance                    alegience                     
algorithm                     algoritm                      
algorithms                    algoritms                     
align                         aline                         
allegory                      allagory                      
alliance                      allaince                      
allege                        alledge                       
alleged                       alledged                      
alleges                       alledges                      
allegiance                    allegence                     
allegiance                    allegience                    
align                         allign                        
aligned                       alligned                      
alleviate                     alliviate                     
along                         allong                        
allowance                     allowence                     
all                           allright                      
although                      allthough                     
always                        allwasy                       
always                        allways                       
always                        allwyas                       
allotted                      alotted                       
always                        alway                         
ameliorate                    amealearate                   
amendment                     amendmant                     
makes                         amkes                         
making                        amking                        
amount                        ammount                       
among                         amung                         
amongst                       amungst                       
analogous                     analagous                     
analytic                      analitic                      
analyze                       analize                       
analogous                     analogeous                    
analyst                       analyist                      
analyze                       analyse                       
ancillary                     ancilliary                    
annealing                     aneeling                      
annoyance                     annoyence                     
annulled                      annuled                       
anomalies                     anomolies                     
anomalous                     anomolous                     
anomaly                       anomoly                       
anonymity                     anonimity                     
another                       anothe                        
announced                     anounced                      
annoyed                       anoyed                        
antarctic                     antartic                      
antarctica                    antartica                     
antecedent                    antecedant                    
annual                        anual                         
anywhere                      anyhwere                      
anything                      anythign                      
anything                      anytying                      
apparent                      aparent                       
aphelion                      apihelion                     
application                   aplication                    
apparent                      apparant                      
apparently                    apparantly                    
apparent                      apparrent                     
apart                         appart                        
appearance                    appearence                    
appearances                   appearences                   
appearance                    apperance                     
appearances                   apperances                    
application                   applicaiton                   
applications                  applicaitons                  
applied                       applyed                       
approaches                    approachs                     
appropriate                   appropiate                    
appropriate                   approrpiate                   
appropriate                   approrpriate                  
approximately                 approximitely                 
approx                        aprox                         
approximate                   aproximate                    
approximately                 aproximately                  
approximately                 aproximatly                   
acquaintance                  aquaintance                   
acquainted                    aquainted                     
aqueous                       aqueus                        
acquaintance                  aquiantance                   
acquiesce                     aquiess                       
acquire                       aquire                        
acquired                      aquired                       
acquiring                     aquiring                      
acquisition                   aquisition                    
acquisitions                  aquisitions                   
arranged                      aranged                       
arrangement                   arangement                    
arrangements                  arangements                   
arbitrarily                   arbitarily                    
arbitrary                     arbitary                      
across                        arcoss                        
arguably                      argubly                       
arguably                      argueably                     
arguably                      arguebly                      
argument                      arguement                     
arguments                     arguements                    
arrive                        arive                         
arrived                       arived                        
around                        arond                         
around                        aroudn                        
arrangement                   arrangment                    
around                        arround                       
article                       artical                       
article                       artice                        
article                       articel                       
artificial                    artifical                     
artificially                  artifically                   
artificial                    artificila                    
artillery                     artillary                     
around                        aruond                        
advertising                   asdvertising                  
ascend                        asend                         
ascended                      asended                       
ascending                     asending                      
assign                        asign                         
associate                     asociate                      
associated                    asociated                     
association                   asociation                    
associations                  asociations                   
absorbed                      asorbed                       
associate                     asosciate                     
associated                    asosciated                    
association                   asosciation                   
associations                  asosciations                  
associate                     asosiate                      
associated                    asosiated                     
association                   asosiation                    
associations                  asosiations                   
aspirations                   asperations                   
assimilate                    assemalate                    
assemble                      assemple                      
assertion                     assertation                   
aside                         asside                        
asymptote                     assimtote                     
assistance                    assisstance                   
assistant                     assistent                     
assistant                     assitant                      
association                   assocation                    
associate                     assoicate                     
associated                    assoicated                    
associates                    assoicates                    
associate                     assosciate                    
associated                    assosciated                   
association                   assosciation                  
associations                  assosciations                 
associate                     assosiate                     
associated                    assosiated                    
association                   assosiation                   
associations                  assosiations                  
asymmetric                    assymetric                    
asterisk                      asterix                       
aesthetic                     asthetic                      
aesthetics                    asthetics                     
asterisk                      astrix                        
asteroid                      astroid                       
assume                        asume                         
asymptotic                    asumtotic                     
attention                     atention                      
atmosphere                    athmosphere                   
atmosphere                    atomsphere                    
attractions                   atractions                    
attribute                     atribute                      
attributed                    atributed                     
attributes                    atributes                     
attach                        attatch                       
attempt                       attemp                        
attempt                       attemt                        
attempted                     attemted                      
attempting                    attemting                     
attempts                      attemts                       
attendance                    attendence                    
attendant                     attendent                     
attendants                    attendents                    
attend                        attened                       
attended                      attented                      
attending                     attenting                     
attention                     attentioin                    
automatically                 automaticly                   
available                     availabe                      
available                     availalbe                     
available                     availble                      
available                     availiable                    
available                     availible                     
available                     avalable                      
avalanche                     avalance                      
available                     avaliable                     
available                     avalible                      
became                        bacame                        
back                          bakc                          
bandwidth                     bandwith                      
bureaucratic                  beauracratic                  
bureaucracy                   beaurocracy                   
because                       becuz                         
beginning                     begginings                    
behavior                      behavoir                      
behavior                      behavour                      
behemoth                      behemouth                     
beleaguered                   beleagured                    
believed                      beleived                      
believes                      beleives                      
believable                    believeable                   
beyond                        belond                        
beneficial                    benefical                     
beneficiary                   beneficary                    
benefiting                    benefitting                   
beneficial                    benificial                    
benefit                       benifit                       
benefits                      benifits                      
bernoulli                     bernouilli                    
besieged                      beseiged                      
begin                         biggin                        
beginner                      bigginer                      
beginning                     biggining                     
beginning                     bigginning                    
beginner                      biginer                       
bilaterally                   bilateraly                    
billion                       bilion                        
billions                      bilions                       
binomial                      binominal                     
bit                           bited                         
blame                         blaim                         
blamed                        blaimed                       
boundaries                    boundarys                     
boundaries                    boundrys                      
buoyancy                      bouyancy                      
boxes                         boxs                          
bridges                       brigdes                       
britain                       britian                       
britain                       brittain                      
broadly                       broady                        
built                         builded                       
calculated                    caluclated                    
calculated                    calulated                     
cambridge                     cambrige                      
candidate                     canidate                      
canonical                     cannonical                    
connotation                   cannotation                   
connotations                  cannotations                  
capability                    caperbility                   
capitalize                    captialize                    
characteristic                caracteristic                 
characteristics               caracteristics                
cartridge                     cartrige                      
cassette                      casette                       
cassette                      cassete                       
chasm                         cassim                        
cast                          casted                        
casualties                    casulaties                    
casualty                      casulaty                      
cataclysm                     cataclism                     
categories                    catagories                    
catastrophe                   catastrofy                    
celsius                       celcius                       
census                        cencus                        
circumstance                  cercomstance                  
certainty                     certainity                    
challenging                   chalanging                    
challenging                   chalenging                    
challenged                    challanged                    
challenger                    challanger                    
challenging                   challanging                   
changes                       chanegs                       
changeable                    changable                     
changing                      changeing                     
changing                      changng                       
characterized                 charaterized                  
character                     charector                     
characteristics               charistics                    
czechoslovakia                checkoslovakia                
chemically                    chemicaly                     
choice                        choise                        
choosing                      chosing                       
cincinnati                    cincinatti                    
cincinnati                    cincinnatti                   
clad                          cladded                       
clad                          claded                        
clearer                       claerer                       
claims                        claimes                       
clearance                     clearence                     
coalesce                      coaless                       
coalescence                   coalessense                   
coerce                        coerse                        
coercion                      coersion                      
cognizant                     cogniscent                    
coincide                      coinside                      
coincidence                   coinsidence                   
collaboration                 colaboration                  
collapsing                    colapsing                     
collateral                    colateral                     
colleague                     coleeg                        
combination                   combintation                  
comparison                    compairison                   
comparison                    comparision                   
comparative                   comparitive                   
comparatively                 comparitively                 
compatibilities               compatabilities               
compatibility                 compatability                 
compatible                    compatable                    
compatibilities               compatablities                
compatibility                 compatablity                  
compatibilities               compatiblities                
compatibility                 compatiblity                  
compete                       compeat                       
competing                     compeeting                    
competence                    competance                    
competitively                 competively                   
comprehensive                 comphrehensive                
complicated                   complcated                    
complexion                    complextion                   
compiler                      complier                      
composite                     composate                     
compressive                   compresive                    
computer                      computre                      
concatenate                   concatinate                   
consecutive                   concecutive                   
consensus                     concensus                     
conscious                     conceous                      
conscious                     conchus                       
coincide                      concide                       
considered                    concidered                    
conscience                    concience                     
conference                    conferance                    
confidential                  confidental                   
confirmation                  confirmmation                 
conference                    confrence                     
confused                      confsued                      
connection                    connexion                     
connoisseur                   conosuer                      
connotation                   conotation                    
conqueror                     conquerer                     
conquerors                    conquerers                    
considered                    consdidered                   
conceit                       conseat                       
concentrated                  consentrated                  
concept                       consept                       
conservative                  conservitive                  
concession                    consession                    
concessions                   consessions                   
conceivable                   consevible                    
considered                    considerd                     
considerate                   considerit                    
consistency                   consistancy                   
constituencies                consituencies                 
constituency                  consituency                   
constitution                  consitution                   
constitutional                consitutional                 
consolidate                   consolodate                   
consolidated                  consolodated                  
consortium                    consorcium                    
constraints                   constaints                    
constant                      constatn                      
contains                      containes                     
continuous                    continous                     
continuously                  continously                   
continuing                    continueing                   
continuum                     continuem                     
contractor                    contracter                    
controversial                 contravercial                 
controversy                   contraversy                   
contributor                   contributer                   
contributors                  contributers                  
controversy                   controvercy                   
controversies                 controveries                  
controversy                   controvery                    
convince                      convense                      
conventional                  convential                    
conversion                    convertion                    
converters                    convertors                    
conventional                  convetional                   
conveniently                  conviently                    
conversation                  convo                         
corrugated                    coregated                     
corrosion                     corosion                      
corporate                     corparate                     
corporate                     corperate                     
corporation                   corperation                   
corporations                  corproations                  
corresponding                 correponding                  
corresponding                 correposding                  
correspondent                 correspondant                 
correspondents                correspondants                
correspond                    corrispond                    
correspondent                 corrispondant                 
correspondents                corrispondants                
corresponded                  corrisponded                  
corresponding                 corrisponding                 
corresponds                   corrisponds                   
corruptible                   corruptable                   
could                         coud                          
could                         coudl                         
caught                        cought                        
counseling                    counceling                    
counseling                    councelling                   
criterion                     critereon                     
critics                       criticists                    
chronological                 cronological                  
culminating                   culiminating                  
cumulative                    cumulatative                  
currently                     currenly                      
cut                           cutted                        
debris                        dabree                        
debut                         dabue                         
dealt                         dealed                        
details                       deatils                       
debatable                     debateable                    
descend                       decend                        
descendants                   decendants                    
descended                     decended                      
descendant                    decendent                     
descendants                   decendents                    
descending                    decending                     
descends                      decends                       
decidable                     decideable                    
decidedly                     decidely                      
deceived                      decieved                      
decision                      decison                       
decisions                     decisons                      
decision                      decission                     
decompose                     decomposit                    
decomposed                    decomposited                  
decomposing                   decompositing                 
decomposes                    decomposits                   
described                     decribed                      
describes                     decribes                      
describing                    decribing                     
depot                         deepo                         
deficit                       defecit                       
defendant                     defendent                     
defiance                      definance                     
definable                     defineable                    
definite                      definit                       
deficient                     defishant                     
degrees                       degress                       
dilapidated                   delapidated                   
declared                      delcared                      
delineation                   delienation                   
delimiter                     delimeter                     
dilemma                       delimma                       
deluxe                        delux                         
demarcation                   demarkation                   
demeanor                      demenor                       
demographic                   demographical                 
dependency                    dependancy                    
dependent                     dependant                     
derived                       derivated                     
derived                       deriviated                    
derivative                    deriviative                   
derogatory                    derogitory                    
derogative                    derrogative                   
dearth                        derth                         
decision                      descision                     
decisions                     descisions                    
designed                      desgined                      
decision                      desicion                      
decisions                     desicions                     
decided                       desided                       
disintegrated                 desintegrated                 
disintegration                desintegration                
decision                      desision                      
decisions                     desisions                     
dissolve                      desolve                       
designed                      dessigned                     
detachment                    detatchment                   
determining                   determinining                 
detrimental                   detremental                   
detour                        detur                         
deterrence                    deturance                     
germany                       deutschland                   
devastating                   devasting                     
developers                    develeoprs                    
developed                     develloped                    
developer                     develloper                    
developers                    devellopers                   
developing                    develloping                   
development                   devellopment                  
developments                  devellopments                 
develop                       devellops                     
development                   developement                  
developments                  developements                 
development                   developemet                   
developer                     developor                     
developers                    developors                    
developed                     developped                    
development                   develpment                    
devastating                   devestating                   
divide                        devide                        
divided                       devided                       
devastated                    devistated                    
devastating                   devistating                   
devastation                   devistation                   
development                   devolopement                  
disaster                      diaster                       
decision                      dicision                      
dichotomy                     dicotomy                      
discovered                    dicovered                     
discovering                   dicovering                    
discovers                     dicovers                      
discovery                     dicovery                      
dying                         dieing                        
differences                   diferences                    
different                     difernt                       
difficulties                  dificulties                   
different                     difrent                       
dug                           digged                        
dilapidated                   dilipidated                   
dimensions                    dimenions                     
dimension                     dimention                     
dimensional                   dimentional                   
dimensions                    dimentions                    
diminution                    diminuation                   
diminutive                    diminuative                   
diminution                    diminuition                   
diminutive                    diminuitive                   
directly                      directlty                     
directions                    directoins                    
derived                       dirived                       
dissipate                     disapait                      
disapproval                   disaproval                    
disastrous                    disasterous                   
dissemination                 discimenation                 
discovered                    discoverd                     
described                     discribed                     
describing                    discribing                    
description                   discription                   
distinction                   disctinction                  
dissolved                     disolved                      
dispensed                     dispenced                     
dispensing                    dispencing                    
despite                       dispite                       
disappearance                 dissapearance                 
disarray                      dissarray                     
disappearing                  dissepearing                  
distinguishes                 distingishes                  
distribution                  distribusion                  
destruction                   distruction                   
device                        divice                        
divisions                     divisons                      
documents                     documnets                     
does                          doens                         
does                          doese                         
doing                         doign                         
doing                         doimg                         
doing                         doin                          
doing                         doind                         
doing                         donig                         
dormant                       dorment                       
doubly                        doublely                      
doubt                         dout                          
easily                        easeily                       
easily                        easly                         
easily                        easyly                        
executive                     eczecutive                    
edifice                       edfice                        
editing                       editting                      
efficiency                    effeciency                    
efficiency                    efficency                     
effort                        efort                         
efforts                       eforts                        
eighth                        eigth                         
electrically                  electricly                    
eliminated                    eleminated                    
eliminating                   eleminating                   
elicited                      elicided                      
eligibility                   eligability                   
eligible                      eligable                      
imbalance                     embalance                     
embezzled                     embezelled                    
immense                       emense                        
emission                      emision                       
immediately                   emmediately                   
emission                      emmision                      
emission                      emmission                     
emitted                       emmitted                      
emitting                      emmitting                     
emphasis                      empahsis                      
emphasize                     empahsize                     
impasse                       empass                        
impede                        empede                        
empirical                     emperical                     
impressed                     empressed                     
enhancement                   enchancement                  
encompass                     encompus                      
incorporate                   encorperate                   
incorporate                   encorporate                   
endure                        endur                         
enforcement                   enforcment                    
enlargement                   enlargment                    
enlargements                  enlargments                   
enormous                      enormass                      
intent                        entent                        
entrance                      enterence                     
entrances                     enterences                    
entrances                     entraces                      
enough                        enuf                          
environment                   enviorment                    
environmental                 enviormental                  
environmentally               enviormentally                
environments                  enviorments                   
environments                  enviornments                  
environments                  enviroments                   
invoke                        envoke                        
equipped                      eqiped                        
equipped                      eqipped                       
equivalent                    eqivalant                     
equivalents                   eqivalants                    
equivalent                    eqivalent                     
equivalents                   eqivalents                    
equivalent                    eqivelant                     
equivalents                   eqivelants                    
equivalent                    eqivelent                     
equivalents                   eqivelents                    
equivalent                    eqivilant                     
equivalents                   eqivilants                    
equivalent                    eqivilent                     
equivalents                   eqivilents                    
equilibrium                   equilibium                    
equilibrium                   equilibrum                    
equipped                      equiped                       
equipment                     equippment                    
equatorial                    equitorial                    
equivalent                    equivalant                    
equivalents                   equivalants                   
equivalent                    equivelant                    
equivalents                   equivelants                   
equivalent                    equivelent                    
equivalents                   equivelents                   
equivalent                    equivilant                    
equivalents                   equivilants                   
equivalent                    equivilent                    
equivalents                   equivilents                   
erratic                       eratic                        
erratically                   eraticly                      
isaan                         esam                          
essence                       essense                       
aesthetic                     esthetic                      
eventful                      eventfull                     
everything                    everythign                    
evidently                     evidentally                   
exaggerate                    exagerate                     
exaggerated                   exagerated                    
exaggerates                   exagerates                    
exaggerating                  exagerating                   
exaggerate                    exagerrate                    
exaggerated                   exagerrated                   
exaggerates                   exagerrates                   
exaggerating                  exagerrating                  
exasperated                   exasparated                   
executed                      excecuted                     
executing                     excecuting                    
execution                     excecution                    
exceeded                      excedded                      
excel                         excell                        
excels                        excells                       
exchanges                     exchagnes                     
excellent                     exelent                       
exacerbate                    exerbate                      
exacerbated                   exerbated                     
excerpt                       exerpt                        
excerpts                      exerpts                       
external                      exerternal                    
exchanges                     exhcanges                     
existent                      existant                      
experienced                   experianced                   
experienced                   experinced                    
explanation                   explaination                  
explanations                  explainations                 
explanation                   explination                   
exploit                       exploitate                    
experienced                   exprienced                    
exist                         exsist                        
existence                     exsistance                    
exerted                       extered                       
extraordinary                 extrodinary                   
extraordinarily               extrordinarily                
excerpt                       exurpt                        
eyes                          eyse                          
facilities                    facilaties                    
facility                      facilaty                      
facilitate                    faciliate                     
facilitated                   faciliated                    
facilities                    facilites                     
facilities                    facilties                     
fault                         falt                          
familiar                      familair                      
familiar                      familar                       
familiar                      familliar                     
familiar                      fammiliar                     
fahrenheit                    farenheit                     
fahrenheit                    farenheight                   
fasten                        fasen                         
fastened                      fasend                        
facade                        fasodd                        
fatigue                       fatig                         
favorite                      favorirte                     
feasibility                   feasability                   
feasible                      feasable                      
february                      febewary                      
fields                        feilds                        
french                        fench                         
vibrant                       fibrant                       
fix                           ficks                         
fictitious                    ficticious                    
fictitious                    fictious                      
fought                        fighted                       
figures                       figuers                       
filament                      filiament                     
filament                      fillement                     
filmmaker                     filmaker                      
filmmaking                    filmaking                     
financially                   financialy                    
finesse                       finess                        
finely                        finly                         
finesse                       finness                       
friends                       firends                       
first                         firts                         
flemish                       flemmish                      
flotation                     floatation                    
fluorescent                   floresent                     
fluoride                      floride                       
fluoride                      flouride                      
fluorine                      flourine                      
flood                         flud                          
focuses                       focusses                      
fooled                        foolded                       
forbade                       forbad                        
verbatim                      forbatum                      
foreboding                    forboding                     
forecast                      forcast                       
forecast                      forcasted                     
forecasts                     forcasts                      
forcibly                      forceably                     
forecast                      forecasted                    
foreign                       forin                         
fomalhaut                     formalhaut                    
formerly                      formely                       
foremost                      formost                       
forests                       forrests                      
foresee                       forsee                        
foreseeability                forseeability                 
foreseeable                   forseeable                    
foreseen                      forseen                       
foresight                     forsight                      
foretell                      fortell                       
fortress                      fortrice                      
forerunner                    forunner                      
found                         foudn                         
fought                        fougth                        
newfoundland                  foundland                     
forty                         fourty                        
from                          frae                          
friends                       freinds                       
friends                       frends                        
friendliness                  friendlyness                  
friends                       frinds                        
from                          frm                           
from                          frmo                          
from                          fron                          
fundamentals                  fundametals                   
futile                        futal                         
further                       futher                        
giants                        gaints                        
galactic                      galatic                       
gallery                       galery                        
guaranteed                    garanteed                     
guarantees                    garantees                     
guard                         gard                          
guaranteed                    gauranteed                    
guarantees                    gaurantees                    
guaranteed                    gaurenteed                    
guess                         gess                          
gyrated                       girated                       
gyrates                       girates                       
gyrating                      girating                      
gyration                      giration                      
geyser                        giser                         
glass                         glas                          
glasses                       glases                        
governor                      gouvener                      
governmental                  govermental                   
governments                   goverments                    
governor                      govoner                       
government                    govorment                     
governmental                  govormental                   
grammatically                 gramatically                  
grammatically                 grammaticaly                  
grammar                       grammer                       
growth                        groth                         
grotesque                     growtesk                      
groups                        gruops                        
grow                          grwo                          
guaranteed                    guarenteed                    
guess                         gues                          
guidance                      guidence                      
guidelines                    guidlines                     
guaranteed                    guranteed                     
guarantees                    gurantees                     
inhabitants                   habitants                     
habsburg                      habsbourg                     
halfway                       halfways                      
halted                        haltet                        
handiwork                     handywork                     
happens                       hapens                        
harasses                      harases                       
harassment                    harasment                     
harassments                   harasments                    
harass                        harras                        
harassed                      harrased                      
harasses                      harrases                      
harassing                     harrasing                     
harassment                    harrasment                    
harassments                   harrasments                   
harassed                      harrasses                     
harass                        harrassing                    
harassment                    harrassment                   
harassments                   harrassments                  
hawaii                        havaii                        
hazard                        hazerd                        
hazardous                     hazerdous                     
headquarter                   headquater                    
headquartered                 headquatered                  
heidelberg                    heidelburg                    
heighten                      heigthen                      
heightened                    heigthened                    
heights                       heigths                       
heighten                      heigthten                     
heightened                    heigthtened                   
hierarchy                     heirarchy                     
heighten                      heithten                      
heightened                    heithtened                    
hemisphere                    hemiphere                     
hindrance                     henderence                    
heighten                      hieghten                      
heightened                    hieghtened                    
heights                       hieghts                       
hierarchical                  hierachical                   
hierarchies                   hierachies                    
hierarchy                     hierachy                      
hierarchical                  hierarcical                   
hierarchy                     hierarcy                      
hiatus                        hietus                        
higher                        higer                         
highest                       higest                        
heighten                      highten                       
heightened                    highteneded                   
hindrance                     hinderance                    
hindrance                     hinderence                    
hindrance                     hindrence                     
hierarchy                     hirearcy                      
himself                       hismelf                       
histocompatibility            histocompatability            
historically                  historicaly                   
hit                           hitted                        
holistic                      hollistic                     
homogeneity                   homogenity                    
honorary                      honory                        
honorarium                    honourarium                   
honorary                      honourary                     
honorific                     honourific                    
they                          htey                          
think                         htikn                         
thing                         hting                         
http                          htp                           
humoral                       humoural                      
heuristic                     huristic                      
hiatus                        hyatus                        
hydrophilic                   hydropilic                    
hydrophobe                    hydropobe                     
hydrophobic                   hydropobic                    
ideas                         idaes                         
ideologies                    idealogies                    
idiosyncrasy                  ideosincracy                  
idiosyncratic                 ideosyncratic                 
ithaca                        ihaca                         
